Thread ID: 109440
Total: 0.106262

 %self     total     self     wait    child    calls  name
  0.13      0.00     0.00     0.00     0.00        1  <Class::Date>#jd_to_commercial
  0.13      0.00     0.00     0.00     0.00        1  Hash#inspect
  0.13      0.00     0.00     0.00     0.00       47  Fixnum#-
  0.13      0.00     0.00     0.00     0.00        1  Rack::Lint#check_env
  0.13      0.00     0.00     0.00     0.00       36  Module#name
  0.13      0.01     0.00     0.00     0.01        8  ActiveSupport::Callbacks::Callback#call
  0.13      0.00     0.00     0.00     0.00       21  Array#flatten
  0.12      0.00     0.00     0.00     0.00        3  Date::Infinity#coerce
  0.12      0.00     0.00     0.00     0.00        5  ActionView::Helpers::UrlHelper#url_for
  0.12      0.01     0.00     0.00     0.01        3  ActiveRecord::Calculations::ClassMethods#calculate
  0.12      0.06     0.00     0.00     0.06        1  ActionController::Base#render_without_benchmark
  0.12      0.00     0.00     0.00     0.00       50  Fixnum#div
  0.12      0.00     0.00     0.00     0.00       51  Fixnum#abs
  0.12      0.00     0.00     0.00     0.00       49  Array#<<
  0.12      0.00     0.00     0.00     0.00        6  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.12      0.00     0.00     0.00     0.00       20  <Class::ActiveRecord::Base>#connection_handler
  0.12      0.00     0.00     0.00     0.00        3  ActiveRecord::Calculations::ClassMethods#column_alias_for
  0.12      0.00     0.00     0.00     0.00       37  Kernel#is_a?
  0.11      0.00     0.00     0.00     0.00        4  MonitorMixin#synchronize
  0.11      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#add_conditions!
  0.11      0.01     0.00     0.00     0.01        1  Time#to_datetime
  0.11      0.00     0.00     0.00     0.00       11  HashWithIndifferentAccess#update
  0.11      0.00     0.00     0.00     0.00       37  Hash#include?
  0.11      0.00     0.00     0.00     0.00       19  <Class::ActiveRecord::Base>#column_names
  0.11      0.00     0.00     0.00     0.00        2  Rational#--1
  0.11      0.11     0.00     0.00     0.11       15  Kernel#__send__-1
  0.11      0.00     0.00     0.00     0.00       20  Enumerable#any?
  0.11      0.00     0.00     0.00     0.00       10  Proc#call-1
  0.11      0.06     0.00     0.00     0.06        2  ActionView::Base#render-1
  0.11      0.00     0.00     0.00     0.00       10  ActionController::Base#request
  0.11      0.00     0.00     0.00     0.00       13  <Class::Time>#now
  0.11      0.00     0.00     0.00     0.00        1  ActionView::Base#session
  0.10      0.00     0.00     0.00     0.00        4  ActionController::Response#content_type
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#compute_public_path
  0.10      0.00     0.00     0.00     0.00        6  <Class::ActiveRecord::Base>#safe_to_array
  0.10      0.01     0.00     0.00     0.01        5  ActiveSupport::Callbacks::CallbackChain#run
  0.10      0.00     0.00     0.00     0.00       30  <Class::Hash>#allocate
  0.10      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::QueryCache#cache_sql
  0.10      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.10      0.06     0.00     0.00     0.06        2  ActionView::Base#with_template
  0.10      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_enter
  0.10      0.01     0.00     0.00     0.01        2  <Class::Date>#ajd_to_jd
  0.10      0.00     0.00     0.00     0.00        2  Rational#divmod
  0.10      0.00     0.00     0.00     0.00       31  Array#compact
  0.09      0.00     0.00     0.00     0.00       29  NilClass#to_s
  0.09      0.00     0.00     0.00     0.00       24  Array#join
  0.09      0.00     0.00     0.00     0.00        2  Rational#coerce
  0.09      0.00     0.00     0.00     0.00       18  Comparable#<
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Session::CookieStore#build_cookie
  0.09      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::MysqlAdapter#select
  0.09      0.00     0.00     0.00     0.00       40  Fixnum#|
  0.09      0.00     0.00     0.00     0.00        6  Date::Infinity#d
  0.09      0.00     0.00     0.00     0.00       40  Fixnum#^
  0.09      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_release
  0.08      0.00     0.00     0.00     0.00       13  Fixnum#/
  0.08      0.00     0.00     0.00     0.00        6  ActionView::Base#template_format
  0.08      0.00     0.00     0.00     0.00        5  ActionView::PathSet#find_template
  0.08      0.06     0.00     0.00     0.06        2  ActionView::Renderable#render
  0.08      0.00     0.00     0.00     0.00        4  ActiveSupport::Inflector#underscore
  0.08      0.00     0.00     0.00     0.00        1  Rack::Request#POST
  0.08      0.00     0.00     0.00     0.00       28  Array#empty?
  0.08      0.00     0.00     0.00     0.00        5  <Module::ActiveSupport::Multibyte>#valid_character
  0.08      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name
  0.08      0.01     0.00     0.00     0.01        3  Date#jd
  0.08      0.06     0.00     0.00     0.06        1  ActionController::Benchmarking#render
  0.08      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Base::Config#rw_config
  0.08      0.00     0.00     0.00     0.00        1  I18n::Backend::Simple#translate
  0.08      0.00     0.00     0.00     0.00        4  Authlogic::Session::Klass::Config#guessed_klass_name
  0.08      0.00     0.00     0.00     0.00        3  Mysql::Result#all_hashes
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Filters::InstanceMethods#run_before_filters
  0.08      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#default
  0.08      0.07     0.00     0.00     0.07       11  Kernel#send
  0.08      0.00     0.00     0.00     0.00        4  IO#write
  0.07      0.00     0.00     0.00     0.00        3  Date#civil
  0.07      0.00     0.00     0.00     0.00       25  Array#first
  0.07      0.00     0.00     0.00     0.00        8  ActiveSupport::CoreExtensions::String::OutputSafety#html_safe!
  0.07      0.00     0.00     0.00     0.00        4  Array#map
  0.07      0.00     0.00     0.00     0.00        5  ActionView::Helpers::TagHelper#escape_once
  0.07      0.00     0.00     0.00     0.00        2  Rack::Request#cookies
  0.07      0.00     0.00     0.00     0.00        6  ActionView::Template::EagerPath#[]
  0.07      0.00     0.00     0.00     0.00       28  Float#floor
  0.07      0.01     0.00     0.00     0.01        2  <Class::Date>#jd_to_ajd
  0.07      0.00     0.00     0.00     0.00        8  Kernel#dup
  0.07      0.00     0.00     0.00     0.00        5  ActionView::Base#request
  0.07      0.00     0.00     0.00     0.00       23  Bignum#*
  0.07      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#auto_flush
  0.07      0.00     0.00     0.00     0.00        4  Authlogic::Session::Scopes::InstanceMethods#build_key
  0.07      0.00     0.00     0.00     0.00       25  Class#superclass
  0.07      0.01     0.00     0.00     0.01        3  ActiveRecord::Calculations::ClassMethods#execute_simple_calculation
  0.07      0.00     0.00     0.00     0.00        3  ActiveRecord::Calculations::ClassMethods#type_cast_calculated_value
  0.07      0.00     0.00     0.00     0.00       21  String#add_without_safety
  0.07      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::QueryCache#select_all
  0.07      0.00     0.00     0.00     0.00        3  ActionController::Request#query_string
  0.07      0.09     0.00     0.00     0.09        1  Rack::Lint#_call
  0.07      0.00     0.00     0.00     0.00       11  NilClass#blank?
  0.07      0.00     0.00     0.00     0.00        8  Class#new-1
  0.07      0.00     0.00     0.00     0.00        1  #<Module:0x273c5c4>#people_path
  0.07      0.00     0.00     0.00     0.00        5  MonitorMixin#mon_check_owner
  0.07      0.00     0.00     0.00     0.00        2  Date#emit_ad
  0.07      0.00     0.00     0.00     0.00        6  Authlogic::Session::Activation::ClassMethods#controller
  0.07      0.00     0.00     0.00     0.00        4  Authlogic::Session::Cookies::Config#cookie_key
  0.06      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#add_limit!
  0.06      0.00     0.00     0.00     0.00        1  <Class::Date>#time_to_day_fraction
  0.06      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Base::Config#first_column_to_exist
  0.06      0.00     0.00     0.00     0.00       23  Kernel#instance_of?
  0.06      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name_without_locals
  0.06      0.00     0.00     0.00     0.00        7  <Class::ActionController::Base>#relative_url_root
  0.06      0.00     0.00     0.00     0.00        4  Authlogic::Session::Id#build_key
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.06      0.00     0.00     0.00     0.00        4  Date#initialize
  0.06      0.00     0.00     0.00     0.00       23  String#include?
  0.06      0.00     0.00     0.00     0.00        4  Authlogic::Session::Password::Config#login_field
  0.06      0.00     0.00     0.00     0.00        4  <Module::I18n>#locale
  0.06      0.00     0.00     0.00     0.00        3  ActiveRecord::Calculations::ClassMethods#column_for
  0.06      0.00     0.00     0.00     0.00        2  ActionController::Request#normalize_parameters
  0.06      0.00     0.00     0.00     0.00        2  Date#emit_n
  0.06      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#scoped_methods
  0.06      0.00     0.00     0.00     0.00        5  ActiveSupport::BufferedLogger#flush
  0.06      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
  0.06      0.00     0.00     0.00     0.00        3  ActiveRecord::Calculations::ClassMethods#construct_count_options_from_args
  0.06      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::SchemaStatements#table_alias_for
  0.06      0.00     0.00     0.00     0.00        4  MonitorMixin#mon_acquire
  0.06      0.00     0.00     0.00     0.00       18  Bignum#div
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#each
  0.06      0.06     0.00     0.00     0.06        1  ActionView::Base#_render_with_layout
  0.06      0.00     0.00     0.00     0.00       10  ActionController::Base#logger
  0.06      0.01     0.00     0.00     0.01        3  ActiveRecord::Calculations::ClassMethods#count
  0.06      0.00     0.00     0.00     0.00        5  ActionController::Base#session
  0.06      0.00     0.00     0.00     0.00       18  Module#to_s
  0.06      0.00     0.00     0.00     0.00        5  ActionController::Base#params
  0.06      0.00     0.00     0.00     0.00        3  ActiveSupport::CoreExtensions::Hash::Keys#assert_valid_keys
  0.06      0.00     0.00     0.00     0.00        4  ActionController::Session::AbstractStore::SessionHash#[]
  0.06      0.00     0.00     0.00     0.00        2  Date#emit_a
  0.06      0.00     0.00     0.00     0.00        1  #<Module:0x273c5c4>#new_user_path
  0.06      0.00     0.00     0.00     0.00        1  Rational#+-1
  0.06      0.06     0.00     0.00     0.06        4  <Module::Benchmark>#ms-1
  0.06      0.00     0.00     0.00     0.00        1  #<Module:0x273c5c4>#projects_path
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_text
  0.05      0.07     0.00     0.00     0.07        1  ActionController::Base#process_without_filters
  0.05      0.00     0.00     0.00     0.00        9  String#gsub!
  0.05      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Login::Config#login_field
  0.05      0.00     0.00     0.00     0.00        1  #<Module:0x273c5c4>#skills_path
  0.05      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#merge_includes
  0.05      0.00     0.00     0.00     0.00        1  Rack::Lint::InputWrapper#read
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Layout#candidate_for_layout?
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#set_content_length!
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Layout#pick_layout
  0.05      0.01     0.00     0.00     0.01        2  Date#__17417__
  0.05      0.00     0.00     0.00     0.00       13  Hash#initialize_copy
  0.05      0.00     0.00     0.00     0.00       19  Array#shift
  0.05      0.00     0.00     0.00     0.00        5  Array#collect
  0.05      0.00     0.00     0.00     0.00        3  Array#map!
  0.05      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::DatabaseStatements#select_value
  0.05      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#merge_conditions
  0.05      0.06     0.00     0.00     0.06        1  ActionController::Base#render_for_file
  0.05      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::ConnectionHandler#connected?
  0.05      0.00     0.00     0.00     0.00        1  #<Module:0x273c5c4>#login_path
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Request#remote_ip
  0.05      0.00     0.00     0.00     0.00        5  Authlogic::Session::Activation::InstanceMethods#controller
  0.05      0.00     0.00     0.00     0.00        5  ActiveSupport::BufferedLogger#clear_buffer
  0.05      0.00     0.00     0.00     0.00        2  ActionController::Base#default_template_name
  0.05      0.00     0.00     0.00     0.00        1  <Class::Authlogic::Session::Base>#before_persisting_callback_chain
  0.05      0.00     0.00     0.00     0.00       15  Kernel#instance_variable_get
  0.05      0.00     0.00     0.00     0.00       19  Bignum#==
  0.05      0.00     0.00     0.00     0.00       18  <Class::Thread>#critical=
  0.05      0.00     0.00     0.00     0.00        1  Time#to_date
  0.05      0.01     0.00     0.00     0.01        3  Kernel#catch
  0.05      0.00     0.00     0.00     0.00        6  Hash#merge
  0.05      0.00     0.00     0.00     0.00        4  Authlogic::ActsAsAuthentic::Base::Config#db_setup?
  0.05      0.00     0.00     0.00     0.00        3  ActionView::Template#path_without_format_and_extension
  0.05      0.01     0.00     0.00     0.01        1  Authlogic::Session::Persistence::InstanceMethods#persisting?
  0.05      0.00     0.00     0.00     0.00        4  Class#new!
  0.05      0.00     0.00     0.00     0.00       15  Kernel#block_given?
  0.05      0.00     0.00     0.00     0.00        1  Authlogic::Session::Password::InstanceMethods#credentials=
  0.05      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.05      0.00     0.00     0.00     0.00       15  Hash#initialize
  0.05      0.00     0.00     0.00     0.00        3  ActiveRecord::ConnectionAdapters::DatabaseStatements#select_one
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_template_class
  0.05      0.00     0.00     0.00     0.00        2  ActionView::Base#_set_controller_content_type
  0.05      0.00     0.00     0.00     0.00        2  ActionController::Response#charset
  0.05      0.00     0.00     0.00     0.00        8  Enumerable#inject
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Routing::RouteSet#recognize
  0.05      0.00     0.00     0.00     0.00        1  <Module::ActiveSupport::Cache>#expand_cache_key
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#checkin_callback_chain
  0.05      0.00     0.00     0.00     0.00       12  Fixnum#to_s
  0.05      0.00     0.00     0.00     0.00        6  Array#-
  0.05      0.00     0.00     0.00     0.00        3  Mysql::Result#each_hash
  0.05      0.00     0.00     0.00     0.00       14  Thread#[]
  0.04      0.00     0.00     0.00     0.00       16  Float#/
  0.04      0.00     0.00     0.00     0.00        1  <Class::Authlogic::Session::Base>#persist_callback_chain
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::Errors#add
  0.04      0.00     0.00     0.00     0.00        1  Authlogic::Session::Session::InstanceMethods#session_credentials
  0.04      0.00     0.00     0.00     0.00       17  Kernel#object_id
  0.04      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.04      0.00     0.00     0.00     0.00        5  Object#present?
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::MessageVerifier#verify
  0.04      0.00     0.00     0.00     0.00        4  String#%
  0.04      0.00     0.00     0.00     0.00        1  Authlogic::Session::Cookies::InstanceMethods#credentials=
  0.04      0.00     0.00     0.00     0.00        2  Date#new_start
  0.04      0.00     0.00     0.00     0.00        3  ActionController::Layout#default_template_format
  0.04      0.06     0.00     0.00     0.06        1  ActionView::Base#render
  0.04      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#info
  0.04      0.00     0.00     0.00     0.00        2  <Module::Rack::Utils>#parse_nested_query
  0.04      0.00     0.00     0.00     0.00       13  <Class::Time>#allocate
  0.04      0.00     0.00     0.00     0.00       17  Bignum#abs
  0.04      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#delete
  0.04      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#connected?
  0.04      0.00     0.00     0.00     0.00        8  Enumerable#all?
  0.04      0.00     0.00     0.00     0.00        1  Authlogic::ControllerAdapters::RailsAdapter#authenticate_with_http_basic
  0.04      0.00     0.00     0.00     0.00        1  ActionView::Helpers::TagHelper#tag_options
  0.04      0.00     0.00     0.00     0.00        2  Rational#to_i
  0.04      0.00     0.00     0.00     0.00       13  Time#initialize
  0.04      0.00     0.00     0.00     0.00        9  Kernel#to_s
  0.04      0.00     0.00     0.00     0.00        2  ActiveSupport::MessageVerifier#generate_digest
  0.04      0.00     0.00     0.00     0.00        5  String#scan
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Response#handle_conditional_get!
  0.04      0.00     0.00     0.00     0.00        5  ActiveSupport::CoreExtensions::Array::Access#second
  0.04      0.06     0.00     0.00     0.06        1  ActionController::Filters::InstanceMethods#call_filters
  0.04      0.00     0.00     0.00     0.00        2  ActionView::Renderable#compile
  0.04      0.06     0.00     0.00     0.06        1  <Module::Benchmark>#realtime
  0.04      0.00     0.00     0.00     0.00        2  ActionController::Request#request_uri
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::MessageVerifier#secure_compare
  0.04      0.00     0.00     0.00     0.00       11  Hash#has_key?
  0.04      0.00     0.00     0.00     0.00       13  Module#==
  0.04      0.07     0.00     0.00     0.07        1  ActionController::Flash::InstanceMethods#perform_action
  0.04      0.00     0.00     0.00     0.00        2  <Class::OpenSSL::HMAC>#hexdigest
  0.04      0.00     0.00     0.00     0.00        5  ActiveSupport::CoreExtensions::Array::Access#third
  0.04      0.00     0.00     0.00     0.00        1  <Class::Date>#fix_style
  0.04      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::Route>#recognize
  0.04      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_names
  0.04      0.07     0.00     0.00     0.07        1  <Class::ActionController::Base>#call
  0.04      0.00     0.00     0.00     0.00       12  Float#coerce
  0.04      0.08     0.00     0.00     0.08        1  ActiveRecord::QueryCache::ClassMethods#cache
  0.04      0.00     0.00     0.00     0.00        4  ActiveSupport::CoreExtensions::String::Inflections#underscore
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.04      0.00     0.00     0.00     0.00        1  Date#emit_sn
  0.04      0.00     0.00     0.00     0.00        7  Kernel#inspect
  0.04      0.00     0.00     0.00     0.00        1  <Class::Authlogic::Session::Base>#before_persisting_callback_chain-1
  0.04      0.00     0.00     0.00     0.00       11  NilClass#nil?
  0.03      0.00     0.00     0.00     0.00        4  ActionController::Request#request_method
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#prepare!
  0.03      0.00     0.00     0.00     0.00        1  ActionView::Base#_copy_ivars_from_controller
  0.03      0.00     0.00     0.00     0.00        1  ActionView::Helpers::AssetTagHelper#rails_asset_id
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#requestify
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Base#complete_request_uri
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_parameters
  0.03      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#columns
  0.03      0.00     0.00     0.00     0.00        1  Rack::Request#GET
  0.03      0.00     0.00     0.00     0.00        8  String#tr
  0.03      0.00     0.00     0.00     0.00        2  ActionController::Filters::BeforeFilter#call
  0.03      0.00     0.00     0.00     0.00        1  <Class::Authlogic::Session::Base>#persist_callback_chain-1
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Request#content_type
  0.03      0.00     0.00     0.00     0.00        1  Mime::Type#=~
  0.03      0.00     0.00     0.00     0.00       12  Fixnum#>=
  0.03      0.00     0.00     0.00     0.00       12  Float#*
  0.03      0.00     0.00     0.00     0.00        3  <Class::ActiveRecord::Base>#scope
  0.03      0.08     0.00     0.00     0.08        1  ActionController::Dispatcher#dispatch
  0.03      0.00     0.00     0.00     0.00        2  ActionController::Filters::Filter#included_in_action?
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::ConnectionAdapters::AbstractAdapter>#checkin_callback_chain-1
  0.03      0.09     0.00     0.00     0.09        1  ActionController::Integration::Runner#get
  0.03      0.00     0.00     0.00     0.00        2  ActionController::Request#method
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Request#path
